pdb_ids
7C7U
6YHW
6Y4E
6XI3
6TNJ
6SWH
6QAY
6PAJ
6MAP
6M8O
6L7C
6JZK
6IN7
6G8C
6FU4
6EFC
6AU1
5YA1
5Y9H
5Y9H
5XE9
5X5I
5UZ9
5UZ9
5UZ9
5OF1
5NFI
5NF4
5NF2
5LTX
5J2Y
5IS1
5IQO
5DWZ
5DWZ
5DHM
5CYL
5B7I
4ZVA
4ZN2
4WXO
4WXM
4WVE
4V1J
4UHJ
4U10
4RLC
4RDB
4QB7
4Q98
4Q1Q
4OMB
4MEE
4M00
4K4K
4JMP
4JG5
4GT8
4F1R
4EPS
4BIU
4BHU
4AE5
3ZGH
3WPA
3VUS
3TVK
3SRA
3RGU
3R4R
3QYY
3QC5
3MFX
3I5C
3HI2
3HI2
3H76
3EZU
3DCQ
3B2M
2ZCM
2Z4H
2XLI
2WPQ
2Q0I
2OXL
2OUG
2O1E
2NA4
2M5G
2KSE
2JMR
2I2J
2A6Q
2A6Q
1Z3E
1Y00
1VPZ
1UB4
1SPV
1RRZ
1PAO
